Gender,Height,Weight
Male,187.57142322448811,108.85210343119665
Male,174.70603627656138,73.039712634585
Male,188.23966769513365,95.733385000425
Male,182.19668514447775,99.01911163638465
Male,177.49976148723286,92.85741028074196
Male,170.8226598470285,68.49547009068735
Male,174.71410637922045,82.76754987181396
Male,173.60522939943328,75.58699972027905
Male,170.22813214372283,79.1682481780695
Male,161.17949470505067,70.3798543742004
Male,180.83627099875525,83.9722165021611
Male,181.96764500282032,96.18352627023495
Male,164.50647599885,75.20735748306421
Male,175.9789980456698,85.2507816240321
Male,175.87907986372045,83.89537560955755
Male,171.81987403906984,77.48411852615266
Male,183.942524230009,88.2128278487169
Male,162.49478733149493,77.797561593951
Male,176.88575214537084,83.6927809079085
Male,172.55745232918412,82.0919916059517
Male,172.50422749230435,78.35216808662686
Male,176.37617726482034,88.979139726624
Male,168.01879518063035,67.12810470358876
Male,191.02317298012184,102.9428012768382
Male,172.4487187000549,72.90299333172915
Male,173.08584330743003,86.55478946063415
Male,175.48766382947102,82.9958284837827
Male,184.91414253191076,93.0726852391593
Male,171.24995539556042,78.84626507965214
Male,173.98089500648203,69.45418751667975
Male,174.29000079752274,84.37807942011315
Male,188.04587135903623,95.80960139648445
Male,181.6816687303501,87.76450945522575
Male,175.71760919290577,92.33262960361695
Male,176.7260940081211,91.87385646784544
Male,178.81835937672955,86.80658178359205
Male,175.45347476554045,88.86970916951626
Male,170.6715491381159,82.71493795473795
Male,167.15058176352375,73.7333211953799
Male,163.3326372445611,73.39860771641236
Male,172.65481401707962,77.46101883307126
Male,183.36114193640202,87.32043220412655
Male,165.7866776310601,75.8779857919314
Male,167.86905053573216,72.5370446684799
Male,171.47621664991306,74.09712476880316
Male,178.06615708809903,85.01503641807331
Male,173.35966455980267,84.17724847371045
Male,183.31868115412516,94.0818885256134
Male,175.7168383519486,86.40645093540226
Male,185.0907147739769,95.10412356883799
Male,164.54776076408726,74.52523178201251
Male,178.26621671420858,90.4823631448056
Male,173.96828364246608,78.04078215597046
Male,171.02031043778115,81.63345567867165
Male,170.15699796960894,76.3819683301134
Male,168.90885674663477,73.4892877393533
Male,173.61676388185296,85.3695944741052
Male,179.7671260388094,86.4561813057756
Male,180.88844612045608,89.18930884842
Male,177.8339479866312,94.2869249267067
Male,181.3640828407276,89.44190669693654
Male,176.66209294087304,89.1357856444971
Male,187.49907777673553,87.88077548537716
Male,170.172082190715,74.22448634865135
Male,181.40290336845038,80.93875605268366
Male,165.80942253087093,69.86268931232206
Male,173.41644634454013,83.0337260618583
Male,184.8240396637097,99.30511865937736
Male,172.97242469288085,82.49069488824901
Male,174.99763342330976,88.40309053103235
Male,175.99535530679523,83.06802373512285
Male,179.12899028957952,93.3897773333448
Male,176.94586207535545,79.7404179385566
Male,171.6919827721059,73.39860099422145
Male,184.17062576546343,97.29820355073075
Male,180.98258343367382,92.09497222004535
Male,182.39533469899166,90.41425704877275
Male,183.5027203172998,99.4057964465139
Male,168.94207425877414,88.40243715335191
Male,167.71374637223823,75.88836451755675
Male,171.6459710145469,81.64472085365671
Male,173.34628424812547,89.39640299688811
